"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Origin and destination of transported commodities, Canadian Freight Analysis Framework",23100142,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310014201",,"CURRENT - a cube available to the public and that is current",Annual,2011-01-01,2017-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,"Geography, origin of shipments",,
2,"Geography, destination of shipments",,
3,"Mode of transportation",,
4,"Commodity group",1,
5,Characteristics,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
2,"Rest of British Columbia, destination of shipments",,22,,,,
2,"Yukon, destination of shipments",,23,,,,
2,"Northwest Territories, destination of shipments",,24,,,,
2,"Nunavut, destination of shipments",,25,,,,
2,"United States and Mexico, destination of shipments",,26,,,,
2,"Other international, destination of shipments",,27,,,,
3,Air,,1,,,,
3,Rail,,2,,,,
3,"Truck (for-hire)",,3,,,,
4,"Agricultural products","[01, 02, 03, 04]",1,,,2,
4,Food,"[05, 06, 07, 08, 09]",2,,,3,
4,Minerals,"[10, 11, 12, 13, 14]",3,,,4,
4,Coal,[15],4,,,,
4,"Fuel oils and crude petroleum","[16, 17, 18, 19]",5,,,5,
4,"Plastic and chemical products","[20, 21, 22, 23, 24]",6,,,6,
4,"Forest products","[25, 26, 27, 28, 29]",7,,,7,
4,"Base metals and articles of base metals","[31, 32, 33]",8,,,8,
4,"Automobiles and other transportation equipment","[36, 37]",9,,,9,
4,"Other manufactured goods","[30, 34, 35, 38, 39, 40]",10,,,10,
4,"Waste and scrap",[41],11,,,,
4,"Miscellaneous products",[42],12,,,,
5,Shipments,,1,,,11,
5,Weight,,2,,,12,
5,Revenue,,3,,,13,
5,Distance,,4,,,14,
5,Tonne-kilometres,,5,,,15,
5,Value,,6,,,16,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
5264,"Canadian Freight Analysis Framework"

"Subject Code","Subject Name"
23,Transportation

"Note ID",Note
1,"The type of commodity shipped. Groupings based on the Standard Classification of Transported Goods (SCTG) two-digit level."
2,"This combines the Standard Classification of Transported Goods (SCTG) codes 01, 02, 03 and 04."
3,"This combines the Standard Classification of Transported Goods (SCTG) codes 05, 06, 07, 08 and 09."
4,"This combines the Standard Classification of Transported Goods (SCTG) codes 10, 11, 12, 13 and 14."
5,"This combines the Standard Classification of Transported Goods (SCTG) codes 16, 17, 18 and 19."
6,"This combines the Standard Classification of Transported Goods (SCTG) codes 20, 21, 22, 23 and 24."
7,"This combines the Standard Classification of Transported Goods (SCTG) codes 25, 26, 27, 28 and 29."
8,"This combines the Standard Classification of Transported Goods (SCTG) codes 31, 32 and 33."
9,"This combines the Standard Classification of Transported Goods (SCTG) codes 36 and 37."
10,"This combines the Standard Classification of Transported Goods (SCTG) codes 30, 34, 35, 38, 39 and 40."
11,"The aggregate number of shipments transported. For air and truck, a shipment represents the movement of a single commodity from an origin to a destination. For rail this represents the number of cars."
12,"The aggregate weight of the shipments."
13,"The aggregate revenue that the carrier earned from transporting the shipments. For rail the revenue value is based on attributing the revenue to the shipments based on tonne-kilometres of the shipment and the overall revenue without distinguishing carrier, geography and much commodity detail. The revenues are not specific to a market and should not be used as a benchmark."
14,"The aggregate distance that the shipments were transported."
15,"The weight of each shipment multiplied by the distance transported and then aggregated."
16,"The aggregate value of the shipments."

"Correction ID","Correction Date","Correction Note"


